,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Enrollment Report,,,,,,,,,,,,,,,,,
,,,,,,,,,Student Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Export to Excel,,,,,,,,,,,,,,,,,
,,,,,,,,,,School Year  2005-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Information about this report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,School Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NECAP Assessment Report Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating District Financial Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County               SU/SD                Operating District    School Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PK/EEE,K Part,,,K Full,1st,2nd,3rd,4th,,,,5th,6th,EU,7th,,,8th,,9th,10th,,11th,12th,SU,AW,PD,Total
,,,,,,,,,,,Statewide Total,"4,048","2,097",,,"3,995","6,450","6,430","6,485","6,550",,,,"6,829","7,069",40,"7,118",,,"7,496",,"7,713","7,479",,"7,194","6,851",53,22,6,"93,925"
,Addison County,,,,,Addison Central SU,Addison Central SU,,,,Addison Central SU,28, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,28
,,,,,,,Bridport,,,,Bridport Central School,4,16,,, ,15,16,10,16,,,,16,14, , ,,, ,, , ,, , , , , ,107
,,,,,,,Cornwall,,,,Bingham Memorial School, , ,,,14,7,15,20,8,,,,10,14, , ,,, ,, , ,, , , , , ,88
,,,,,,,Middlebury ID #4,,,,Middlebury ID #4 School, , ,,,60,55,58,51,57,,,,58,73, , ,,, ,, , ,, , , , , ,412
,,,,,,,Middlebury UHSD #3,,,,Middlebury Senior UHSD #3, , ,,, , , , , ,,,, , , , ,,, ,,169,180,,176,172,7, , ,704
,,,,,,,,,,,Middlebury Union Middle School #3, , ,,, , , , , ,,,, , , ,146,,,161,, , ,, , , , , ,307
,,,,,,,Ripton,,,,Ripton Elementary School,5, ,,,11,9,7,8,7,,,,11,10, , ,,, ,, , ,, , , , , ,68
,,,,,,,Salisbury,,,,Salisbury Community School, , ,,,10,18,16,13,14,,,,17,16, , ,,, ,, , ,, , , , , ,104
,,,,,,,Shoreham,,,,Shoreham Elementary School, , ,,,12,8,17,11,12,,,,15,19, , ,,, ,, , ,, , , , , ,94
,,,,,,,Weybridge,,,,Weybridge Elementary School, ,22,,, ,10,14,12,17,,,,14,15, , ,,, ,, , ,, , , , , ,104
,,,,,,Addison Northeast SU,Addison Northeast SU,,,,Addison Northeast SU,25, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,25
,,,,,,,Bristol,,,,Bristol Elementary School, , ,,,36,44,46,42,41,,,,51,65, , ,,, ,, , ,, , , , , ,325
,,,,,,,Lincoln,,,,Lincoln Community School, , ,,,22,15,16,14,21,,,,17,15, , ,,, ,, , ,, , , , , ,120
,,,,,,,Monkton,,,,Monkton Central School, , ,,,34,28,17,33,24,,,,24,24, , ,,, ,, , ,, , , , , ,184
,,,,,,,Mt Abraham UHSD #28 (District),,,,Mt Abraham UHSD #28 (School), , ,,, , , , , ,,,, , , ,140,,,166,,193,166,,161,133, ,1, ,960
,,,,,,,New Haven,,,,Beeman Elementary School, , ,,,16,17,26,22,19,,,,24,25, , ,,, ,, , ,, , , , , ,149
,,,,,,,Starksboro,,,,Robinson School, , ,,,24,24,17,18,24,,,,16,25, , ,,, ,, , ,, , , , , ,148
,,,,,,Addison Northwest SU,Addison,,,,Addison Central School, ,18,,, ,17,17,19,26,,,,20,21, , ,,, ,, , ,, , , , , ,138
,,,,,,,Addison Northwest SU,,,,Addison Northwest SU,32, ,,, , , , , ,,,, , , , ,,, ,, , ,, , , , , ,32
,,,,,,,Ferrisburgh,,,,Ferrisburgh Central School, , ,,,27,26,28,23,29,,,,33,38, , ,,, ,, , ,, , , , , ,204
,,,,,,,Vergennes UESD #44 (District),,,,Vergennes UESD #44 (School), ,29,,, ,40,35,39,44,,,,39,42, , ,,, ,, , ,, , , , , ,268
,,,,,,,Vergennes UHSD #5 (District),,,,Vergennes UHSD #5 (School), , ,,, , , , , ,,,, , , ,88,,,107,,116,114,,112,120, , , ,657
,,,,,,Addison Rutland SU,Orwell,,,,Orwell Village School, , ,,,8,28,13,11,13,,,,16,21, ,16,,,25,, , ,, , , , , ,151
,,,,,,Rutland Northeast SU,Leicester,,,,Leicester Central School, , ,,,9,10,13,10,8,,,,7,15, , ,,, ,, , ,, , , , , ,72
,,,,,,,Whiting,,,,Whiting Village School,12, ,,,3,5,3,3,3,,,,1,5, , ,,, ,, , ,, , , , , ,35
,,,,,,Windsor Northwest SU,Granville/Hancock Joint Contract District,,,,Village School,2, ,,,11,4,7,5,4,,,,4,6, , ,,, ,, , ,, , , , , ,43
,,,,,,,,,,,County Total,108,85,,,297,380,381,364,387,,,,393,463, ,390,,,459,,478,460,,449,425,7,1, ,"5,527"
